Year	DOY	Hour	Min	 Dectime	   Kdown	     Kup	   Ldown	     Lup	   Tsurf	      QN	      QF	      QS	      QH	      QE	 QHlumps	 QElumps	  QHinit	 QHresis	    Rain	     Irr	    Evap	      RO	   TotCh	  SurfCh	   State	NWtrState	Drainage	     SMD	  FlowCh	AddWater	  ROSoil	  ROPipe	   ROImp	   ROVeg	 ROWater	   WUInt	 WUEveTr	 WUDecTr	 WUGrass	SMDPaved	SMDBldgs	SMDEveTr	SMDDecTr	SMDGrass	SMDBSoil	 StPaved	 StBldgs	 StEveTr	 StDecTr	 StGrass	 StBSoil	 StWater	  Zenith	 Azimuth	 AlbBulk	    Fcld	     LAI	     z0m	     zdm	      zL	   UStar	   TStar	     Lob	      RA	      RS	      Fc	 FcPhoto	 FcRespi	 FcMetab	 FcTraff	 FcBuild	 FcPoint	QNSnowFr	  QNSnow	 AlbSnow	      QM	QMFreeze	  QMRain	     SWE	MeltWater	MeltWStore	  SnowCh	SnowRPaved	SnowRBldgs	      Ts	      T2	      Q2	     U10	     RH2	Ts_Paved	Ts_Bldgs	Ts_EveTr	Ts_DecTr	Ts_Grass	Ts_BSoil	Ts_Water	Ts_Paved_dyohm	Ts_Bldgs_dyohm	Ts_EveTr_dyohm	Ts_DecTr_dyohm	Ts_Grass_dyohm	Ts_BSoil_dyohm	Ts_Water_dyohm	QN_Paved	QN_Bldgs	QN_EveTr	QN_DecTr	QN_Grass	QN_BSoil	QN_Water	QS_Paved	QS_Bldgs	QS_EveTr	QS_DecTr	QS_Grass	QS_BSoil	QS_Water
2012	  1	   1	  0	  0.0417	  0.1367	  0.0151	344.2934	371.8026	 11.7720	-27.3876	 50.2911	-49.5190	 61.8654	 10.5570	 61.1906	 11.2999	 61.8654	  0.0000	  0.0000	  0.0000	  0.0154	  0.0000	 -0.0154	 -0.0150	2799.9850	   0.0000	  0.0000	 30.0004	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	 30.0000	 30.0000	 30.0000	 30.0066	 30.0066	 30.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	19999.8927	149.5848	 26.5039	  0.1104	-999.0000	  1.3600	  1.9000	 14.2000	 -0.0420	  0.7501	 -0.0666	-615.9428	 49.5825	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-27.3876	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 14.2454	 12.4724	  7.4678	  0.4288	 82.4125	 14.6720	 14.7190	 14.6023	 14.4538	 14.5119	 14.6486	 11.7046	        9.7687	        9.4839	       10.0692	       10.0692	        9.6943	        9.8044	        9.8044	-27.8334	-26.6593	-28.7160	-28.7185	-27.2552	-27.5493	-27.8334	-49.5190	-49.5190	-49.5190	-49.5190	-49.5190	-49.5190	-49.5190
2012	  1	   2	  0	  0.0833	  0.0167	  0.0018	344.5472	372.0764	 11.8244	-27.5144	 42.2936	-48.6362	 53.7640	  9.6514	 53.1596	 10.2714	 53.7640	  0.0000	  0.0000	  0.0000	  0.0140	  0.0000	 -0.0140	 -0.0137	2799.9713	   0.0000	  0.0000	 30.0008	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	 30.0000	 30.0000	 30.0000	 30.0129	 30.0130	 30.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	19999.7947	143.8149	 49.4791	  0.1104	-999.0000	  1.3600	  1.9000	 14.2000	 -0.0442	  0.7051	 -0.0616	-587.6350	 51.9503	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-27.5144	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 14.0779	 12.4661	  7.4828	  0.4054	 82.6243	 14.4539	 14.5030	 14.3829	 14.2355	 14.2964	 14.4316	 11.6325	        8.7757	        8.2653	        9.3111	        9.3111	        8.5829	        8.7737	        8.7737	-27.9618	-26.7842	-28.8453	-28.8456	-27.3741	-27.6686	-27.9618	-48.6362	-48.6362	-48.6362	-48.6362	-48.6362	-48.6362	-48.6362
2012	  1	   3	  0	  0.1250	  0.0000	  0.0000	345.1659	371.6763	 11.7346	-26.5103	 41.5497	-47.7411	 53.4377	  9.3427	 52.6095	 10.1828	 53.4377	  0.0000	  0.0000	  0.0000	  0.0136	  0.0000	 -0.0136	 -0.0133	2799.9580	   0.0000	  0.0000	 30.0011	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	 30.0000	 30.0000	 30.0000	 30.0189	 30.0190	 30.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	19999.6998	135.8781	 67.0589	  0.1104	-999.0000	  1.3600	  1.9000	 14.2000	 -0.0411	  0.7217	 -0.0598	-634.9867	 51.1003	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-26.5103	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 13.9377	 12.3698	  7.5224	  0.4113	 83.5778	 14.3340	 14.3814	 14.2659	 14.1252	 14.1839	 14.3129	 11.6230	        8.1940	        7.7938	        8.8090	        8.8090	        8.0636	        8.2397	        8.2397	-26.9414	-25.8070	-27.7922	-27.7922	-26.3742	-26.6578	-26.9414	-47.7411	-47.7411	-47.7411	-47.7411	-47.7411	-47.7411	-47.7411
2012	  1	   4	  0	  0.1667	  0.0000	  0.0000	344.8211	370.7741	 11.5550	-25.9530	 41.9588	-47.2838	 54.0848	  9.2048	 53.0798	 10.2090	 54.0848	  0.0000	  0.0000	  0.0000	  0.0134	  0.0000	 -0.0134	 -0.0131	2799.9449	   0.0000	  0.0000	 30.0014	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	 30.0000	 30.0000	 30.0000	 30.0247	 30.0248	 30.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	19999.6063	126.9206	 81.0772	  0.1104	-999.0000	  1.3600	  1.9000	 14.2000	 -0.0383	  0.7400	 -0.0590	-674.8298	 50.1395	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-25.9530	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 13.7425	 12.1918	  7.4932	  0.4187	 84.2144	 14.1023	 14.1471	 14.0385	 13.9082	 13.9638	 14.0830	 11.5048	        7.8418	        7.5587	        8.4694	        8.4694	        7.7945	        7.9456	        7.9456	-26.3750	-25.2645	-27.2079	-27.2079	-25.8198	-26.0974	-26.3750	-47.2838	-47.2838	-47.2838	-47.2838	-47.2838	-47.2838	-47.2838
2012	  1	   5	  0	  0.2083	  0.0000	  0.0000	343.3235	370.3544	 11.4892	-27.0309	 44.8602	-48.0147	 56.0416	  9.8024	 55.3508	 10.4884	 56.0416	  0.0000	  0.0000	  0.0000	  0.0143	  0.0000	 -0.0143	 -0.0140	2799.9309	   0.0000	  0.0000	 30.0018	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	 30.0000	 30.0000	 30.0000	 30.0307	 30.0308	 30.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	19999.5066	117.6238	 93.1350	  0.1104	-999.0000	  1.3600	  1.9000	 14.2000	 -0.0349	  0.7742	 -0.0584	-746.7299	 48.5440	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-27.0309	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 13.6825	 12.1335	  7.3911	  0.4335	 83.3827	 14.0551	 14.1005	 13.9907	 13.8598	 13.9162	 14.0358	 11.3793	        7.5655	        7.3285	        8.1929	        8.1929	        7.5707	        7.7125	        7.7125	-27.4705	-26.3138	-28.3379	-28.3379	-26.8921	-27.1813	-27.4705	-48.0147	-48.0147	-48.0147	-48.0147	-48.0147	-48.0147	-48.0147
2012	  1	   6	  0	  0.2500	  0.0000	  0.0000	341.2386	370.1207	 11.4692	-28.8821	 55.5359	-49.2277	 64.7460	 11.1355	 64.2501	 11.6272	 64.7460	  0.0000	  0.0000	  0.0000	  0.0162	  0.0000	 -0.0162	 -0.0158	2799.9151	   0.0000	  0.0000	 30.0022	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	 30.0000	 30.0000	 30.0000	 30.0374	 30.0375	 30.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	19999.3934	108.4297	104.2957	  0.1104	-999.0000	  1.3600	  1.9000	 14.2000	 -0.0403	  0.7752	 -0.0676	-654.6245	 48.4038	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-28.8821	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 14.0008	 12.1884	  7.2532	  0.4409	 81.5333	 14.3864	 14.4344	 14.3165	 14.1706	 14.2302	 14.3642	 11.3687	        7.3179	        7.0690	        7.9507	        7.9507	        7.3429	        7.4903	        7.4903	-29.3517	-28.1158	-30.2786	-30.2786	-28.7338	-29.0427	-29.3517	-49.2277	-49.2277	-49.2277	-49.2277	-49.2277	-49.2277	-49.2277
2012	  1	   7	  0	  0.2917	  0.0029	  0.0003	338.7006	369.3021	 11.3355	-30.5990	 83.2853	-50.2350	 89.2847	 13.6367	 88.2620	 14.6644	 89.2847	  0.0000	  0.0000	  0.0000	  0.0198	  0.0000	 -0.0198	 -0.0194	2799.8957	   0.0000	  0.0000	 30.0027	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	 30.0000	 30.0000	 30.0000	 30.0458	 30.0459	 30.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	19999.2548	 99.6904	115.2691	  0.1104	-999.0000	  1.3600	  1.9000	 14.2000	 -0.0618	  0.7452	 -0.0966	-421.1441	 49.5128	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-30.5990	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 14.8985	 12.2481	  7.0850	  0.4457	 79.3328	 15.3923	 15.4446	 15.3098	 15.1234	 15.1882	 15.3617	 11.6094	        7.0938	        6.8003	        7.7398	        7.7398	        7.1161	        7.2778	        7.2778	-31.0965	-29.7871	-32.0786	-32.0786	-30.4420	-30.7694	-31.0965	-50.2350	-50.2350	-50.2350	-50.2350	-50.2350	-50.2350	-50.2350
2012	  1	   8	  0	  0.3333	  2.1660	  0.2391	336.5439	368.2995	 11.1587	-29.8286	112.4854	-49.6180	116.1061	 16.1686	114.3793	 17.9197	116.1061	  0.0000	  0.0000	  0.0000	  0.0235	  0.0000	 -0.0235	 -0.0230	2799.8727	   0.0000	  0.0000	 30.0032	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	 30.0000	 30.0000	 30.0000	 30.0556	 30.0558	 30.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	19999.0906	 90.8793	126.5592	  0.1104	-999.0000	  1.3600	  1.9000	 14.2000	 -0.0828	  0.7387	 -0.1268	-313.5304	 49.4807	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-29.8286	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 15.7594	 12.2111	  6.9415	  0.4569	 77.9172	 16.3549	 16.4073	 16.2634	 16.0426	 16.1052	 16.3113	 11.8665	        6.9399	        6.5917	        7.5981	        7.5981	        6.9480	        7.1256	        7.1256	-30.3218	-29.0094	-31.3359	-31.3758	-29.8051	-30.1431	-30.3218	-49.6180	-49.6180	-49.6180	-49.6180	-49.6180	-49.6180	-49.6180
2012	  1	   9	  0	  0.3750	 18.5108	  2.0436	335.3019	368.3782	 11.1916	-16.6090	122.3055	-40.9362	129.6050	 17.0276	127.2330	 19.4600	129.6050	  0.0000	  0.0000	  0.0000	  0.0247	  0.0000	 -0.0247	 -0.0242	2799.8485	   0.0000	  0.0000	 30.0039	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	 30.0000	 30.0000	 30.0000	 30.0663	 30.0665	 30.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	19998.9177	 84.5812	138.5222	  0.1104	-999.0000	  1.3600	  1.9000	 14.2000	 -0.1136	  0.6908	 -0.1514	-229.5364	 51.6504	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-16.6090	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 16.3154	 12.0475	  6.8534	  0.4453	 77.7667	 16.9853	 17.0284	 16.8850	 16.6227	 16.6532	 16.8884	 12.0520	        7.1436	        6.7842	        7.7649	        7.7649	        7.1453	        7.3211	        7.3211	-16.9483	-15.9300	-17.9675	-18.3081	-17.6312	-17.9710	-16.9483	-40.9362	-40.9362	-40.9362	-40.9362	-40.9362	-40.9362	-40.9362
2012	  1	  10	  0	  0.4167	 52.6254	  5.8098	334.8097	370.4944	 11.6312	 11.1309	118.9205	-23.1042	135.3770	 17.7786	133.0354	 20.1684	135.3770	  0.0000	  0.0000	  0.0000	  0.0258	  0.0000	 -0.0258	 -0.0251	2799.8234	   0.0000	  0.0000	 30.0047	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	 30.0000	 30.0000	 30.0000	 30.0807	 30.0809	 30.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	19998.7384	 79.2882	151.3508	  0.1104	-999.0000	  1.3600	  1.9000	 14.2000	 -0.1114	  0.7056	 -0.1548	-233.8289	 50.8757	7770.6925	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	 11.1309	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 16.4112	 12.0278	  6.8239	  0.4534	 77.5182	 17.1524	 17.1705	 17.0350	 16.6746	 16.6310	 16.9397	 12.0880	        7.9309	        7.6566	        8.4152	        8.4152	        7.9604	        8.0979	        8.0979	 11.1150	 11.5134	 10.0900	  9.1217	  7.9251	  7.5835	 11.1150	-23.1042	-23.1042	-23.1042	-23.1042	-23.1042	-23.1042	-23.1042
